Date,Weight in pounds
10/08/2023,161.6
11/08/2023,161.2
12/08/2023,160.05
13/08/2023,160.27
14/08/2023,160.4
15/08/2023,160.2
16/08/2023,160.2
17/08/2023,160.2
18/08/2023,159.3
19/08/2023,158.9
20/08/2023,160.2
21/08/2023,160.2
22/08/2023,159.8
23/08/2023,158.7
24/08/2023,158.2
25/08/2023,158.07
26/08/2023,158.2
27/08/2023,158.07
28/08/2023,158.2
29/08/2023,158
30/08/2023,158.5
31/08/2023,157.4
01/09/2023,158
02/09/2023,157.4
03/09/2023,158.2
04/09/2023,158.9
05/09/2023,156.7
06/09/2023,156.9
07/09/2023,157.4
08/09/2023,157.4
09/09/2023,156.9
10/09/2023,158.9
11/09/2023,158.5
12/09/2023,158.2
13/09/2023,157.8
14/09/2023,156.7
15/09/2023,156.9
16/09/2023,156.5
17/09/2023,155.4
18/09/2023,155.4
19/09/2023,155.4
20/09/2023,155.4
21/09/2023,155.4
22/09/2023,155.4
23/09/2023,155.4
24/09/2023,155.4
25/09/2023,154.5
26/09/2023,154.6
27/09/2023,155.6
28/09/2023,154.5
29/09/2023,155.4
30/09/2023,154.9
01/10/2023,155.6
02/10/2023,156
03/10/2023,155.6
04/10/2023,155.6
05/10/2023,155.8
06/10/2023,155.6
07/10/2023,154.3
08/10/2023,154.7
09/10/2023,156.5
10/10/2023,155.8
11/10/2023,155.8
12/10/2023,155.6
13/10/2023,155.8
14/10/2023,154.5
15/10/2023,154.5
16/10/2023,154.5
17/10/2023,154.3
18/10/2023,154.7
19/10/2023,153.2
20/10/2023,154.3
21/10/2023,154.3
22/10/2023,154.3
23/10/2023,154.7
24/10/2023,154.3
25/10/2023,154.3
26/10/2023,155.6
27/10/2023,155.6
28/10/2023,154.9
29/10/2023,154.7
30/10/2023,155.6
31/10/2023,155.2
01/11/2023,155.2
02/11/2023,157
03/11/2023,155.4
04/11/2023,154.5
05/11/2023,155.4
06/11/2023,156
07/11/2023,156
08/11/2023,156
09/11/2023,154.7
10/11/2023,155.2
